sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class
22627,541,841,781,1204,1690,1728,1836,1807,1513,1083,Roshan
22628,551,891,825,1196,1622,1693,1760,1763,1530,1100,Roshan
22629,600,818,809,1151,1501,1605,1720,1703,1486,1131,Roshan
22630,602,889,868,1258,1814,1944,2214,2040,1624,1142,Roshan
22631,563,823,862,1280,1601,1642,1676,1735,1684,1387,Roshan
22632,583,883,803,1236,1655,1801,1930,1867,1513,1104,Roshan
22633,579,889,898,1253,1581,1610,1762,1634,1549,1153,Roshan
22634,607,875,858,1258,1814,1944,1794,2040,1624,1142,Roshan
22635,653,921,893,1319,1702,1799,1794,1793,1610,1238,Roshan
22636,607,875,858,1258,1814,1944,1794,2040,1624,1142,Roshan
22637,531,797,783,1169,1691,1777,1904,1848,1495,1069,Roshan
22638,596,911,902,1293,1691,1840,2206,1885,1643,1164,Roshan
22639,602,916,905,1264,1683,1784,1982,1868,1654,1154,Roshan
22640,600,818,809,1151,1501,1605,1720,1703,1486,1131,Roshan
22641,570,874,870,1169,1691,1777,1848,1848,1495,1069,Roshan
22642,586,880,896,1200,1584,1740,1758,1757,1560,1160,Roshan
22643,594,861,882,1240,1661,1834,1790,1877,1613,1161,Roshan
22644,486,744,737,1159,1771,2026,1880,2180,1679,1066,Roshan
22645,587,947,890,1319,1702,1799,1846,1793,1610,1238,Roshan
22646,577,861,814,1238,1719,1890,1890,2015,1729,1234,Roshan
22647,583,883,803,1236,1655,1801,1930,1867,1513,1104,Roshan
22648,481,659,757,1223,1771,1778,1836,1996,1817,1304,Roshan
22649,617,916,932,1264,1683,1784,1708,1868,1654,1154,Roshan
22650,623,886,945,1245,1675,1810,1746,1905,1594,1179,Roshan
22651,615,914,902,1253,1581,1610,1712,1634,1549,1153,Roshan
22652,617,916,932,1264,1683,1784,1708,1868,1654,1154,Roshan
22653,507,857,760,1223,1771,1778,1846,1996,1817,1304,Roshan
22654,630,873,903,1151,1501,1605,1720,1703,1486,1131,Roshan
22655,675,975,949,1336,1679,1710,1982,1848,1650,1394,Roshan
22656,582,879,879,1251,1637,1806,1766,1882,1701,1191,Roshan
